scraping_id,scraping_date,name,price_10k,age_year,admin_fee,sikikin_10k,reikin_10k,deposit_10k,sikibiki_10k,line,station,move,time_to_station_min,room,area_m2,direction,type,address
202301240000,2023-01-24,京成押上線 京成曳舟駅 5階建 築33年,5.2,33.0,7000.0,5.2,5.2,0.0,5.2,京成押上線,押上駅,徒歩,14.0,1K,16.04,南東,マンション,東京都墨田区京島３
202301240001,2023-01-24,京成押上線 京成曳舟駅 5階建 築33年,5.2,33.0,7000.0,5.2,5.2,0.0,5.2,京成押上線,押上駅,徒歩,14.0,1K,16.04,南東,マンション,東京都墨田区京島３
202301240002,2023-01-24,京成押上線 京成曳舟駅 5階建 築33年,5.2,33.0,7000.0,5.2,5.2,0.0,5.2,京成押上線,押上駅,徒歩,14.0,1K,16.04,南東,マンション,東京都墨田区京島３
202301240003,2023-01-24,ウインベルソロ曳舟第２,5.2,33.0,7000.0,5.2,5.2,0.0,5.2,都営浅草線,押上駅,徒歩,14.0,1K,16.04,南東,マンション,東京都墨田区京島３
202301240004,2023-01-24,ウインベルソロ曳舟第２,5.2,33.0,7000.0,5.2,5.2,0.0,5.2,都営浅草線,押上駅,徒歩,14.0,1K,16.04,南東,マンション,東京都墨田区京島３
202301240005,2023-01-24,ウインベルソロ曳舟第２,5.2,33.0,7000.0,5.2,5.2,0.0,5.2,都営浅草線,押上駅,徒歩,14.0,1K,16.04,南東,マンション,東京都墨田区京島３
202301240006,2023-01-24,京成押上線 京成曳舟駅 5階建 築33年,5.2,33.0,7000.0,5.2,5.2,0.0,0,京成押上線,押上駅,徒歩,14.0,1K,16.04,南東,マンション,東京都墨田区京島３
202301240007,2023-01-24,ウインベルソロ曳舟第２,5.2,33.0,7000.0,5.2,5.2,0.0,5.2,都営浅草線,押上駅,徒歩,14.0,1K,16.04,南東,マンション,東京都墨田区京島３
202301240008,2023-01-24,ウインベルソロ曳舟第２,5.2,33.0,7000.0,5.2,5.2,0.0,5.2,都営浅草線,押上駅,徒歩,14.0,1K,16.04,南東,マンション,東京都墨田区京島３
202301240009,2023-01-24,ウインベルソロ曳舟第２,5.2,33.0,7000.0,5.2,5.2,0.0,5.2,都営浅草線,押上駅,徒歩,14.0,1K,16.04,南東,マンション,東京都墨田区京島３
